document_id sentence_id sentence
1 1 " समाजवादी पार्टी के अध्यक्ष और उत्तर प्रदेश के मुख्यमंत्री मुलायम सिंह यादव ने शुक्रवार को एक बार फिर तीसरा मोर्चा बनाने की अपील की ।"
1 2 " कांग्रेस और भाजपा को आड़े हाथों लेते हुए उन्होंने कहा कि इन दोनों पार्टियों ने लोगों का विश्वास खो दिया है ।"
1 3 " इसके साथ ही उन्होंने कहा कि उत्तर प्रदेश सरकार प्रस्तावित ३७४० मेगावाट की गैस आधारित बिजली परियोजना पर रिलायंस के वाइस चेयरमैन अनिल अंबानी से बात करेगी , जिससे कि राज्य में अगले डेढ़ साल में बिजली की समस्या खत्म हो जाए और वह दूसरों को बिजली देने की स्थिति में पहुंच जाए ।"
1 4 " यादव ने शुक्रवार को यहां पार्टी सम्मेलन में कहा कि तीसरा मोर्चा कांग्रेस और भाजपा से समान दूरी बनाए रखेगा ।"
1 5 " उन्होंने कहा कि सपा भाजपा के खिलाफ लड़ाई लड़ रही है और इसी का नतीजा है कि उत्तर प्रदेश में भगवा पार्टी के कई दिग्गज नेताओं को हार का सामना करना पड़ा है ।"
1 6 " इसी के चलते राज्य में भाजपा के सांसदों की संख्या ६० से घटकर १० रह गई ।"
1 7 " इसके बावजूद कांग्रेस सपा पर भाजपा से सांठगांठ के आरोप लगाती है ।"
1 8 " यादव ने कहा कि जब हम भाजपा को बेदखल करने के लिए मुहिम छेडे हुए थे तब कांग्रेस सपा को कमजोर करने की कोशिश कर रही थी ।"
1 9 " रिलायंस की बिजली परियोजना के बारे में मुख्यमंत्री ने कहा कि उन्होंने यूपी विकास परिषद के अध्यक्ष अमर सिंह से कहा है कि वह अनिल अंबानी से बातचीत करें ।"
1 10 " उन्होंने कहा कि परियोजना में आने वाली बाधाओं को दूर करने में राज्य सरकार हर तरह की मदद उपलब्ध कराएगी ।"
1 11 " मुलायम ने कहा कि कर्नाटक में सपा बड़ी ताकत के रूप में उभरेगी ।"
